,"Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS"
"Sudan"," 3 000 [ 2 100- 4 300]"," 1 800 [ 1 200- 2 300]","<1000 [<1000- 2 300]","<1000 [<500- 1 800]"
"Suriname","<200 [<200-<200]","<200 [<200-<200]","<200 [<200-<500]","<200 [<100-<200]"
"Swaziland"," 3 800 [ 3 300- 4 200]"," 5 400 [ 4 800- 6 000]"," 7 300 [ 7 300- 9 300]"," 5 700 [ 4 600- 7 000]"
"Sweden","No data","No data","No data","No data"
"Switzerland","No data","No data","No data","No data"
"Syrian Arab Republic","No data","No data","No data","No data"
"Tajikistan","<1000 [<1000-<1000]","<1000 [<1000-<1000]","<500 [<500-<1000]","<200 [<100-<500]"
"Thailand","14 000 [11 000-21 000]","19 000 [12 000-29 000]","51 000 [27 000-40 000]","50 000 [43 000-56 000]"
"The former Yugoslav republic of Macedonia","No data","No data","No data","No data"
"Timor-Leste","No data","No data","No data","No data"
"Togo"," 5 100 [ 4 000- 6 500]"," 7 900 [ 6 600- 9 500]"," 7 900 [ 7 300-11 000]"," 6 300 [ 4 800- 8 100]"
"Tonga","No data","No data","No data","No data"
"Trinidad and Tobago","<500 [<200-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]"
"Tunisia","<100 [<100-<200]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]"
"Turkey","No data","No data","No data","No data"
"Turkmenistan","No data","No data","No data","No data"
"Tuvalu","No data","No data","No data","No data"
"Uganda","28 000 [22 000-35 000]","50 000 [43 000-59 000]","85 000 [58 000-74 000]","91 000 [81 000-100 000]"
"Ukraine"," 7 900 [ 6 000-10 000]","14 000 [12 000-17 000]"," 7 100 [ 9 100-15 000]"," 4 400 [ 3 100- 6 200]"
"United Arab Emirates","No data","No data","No data","No data"
"United Kingdom of Great Britain and Northern Ireland","No data","No data","No data","No data"
"United Republic of Tanzania","36 000 [29 000-42 000]","66 000 [58 000-74 000]","100 000 [95 000-120 000]","92 000 [80 000-110 000]"
"United States of America","No data","No data","No data","No data"
"Uruguay","<500 [<200-<500]","<1000 [<500-<1000]","<200 [<200-<500]","<200 [<100-<200]"
"Uzbekistan"," 2 600 [ 1 600- 4 200]"," 3 700 [ 2 700- 5 300]","<1000 [ 1 400- 2 700]","<500 [<200-<500]"
"Vanuatu","No data","No data","No data","No data"
"Venezuela (Bolivarian Republic of)"," 3 300 [ 2 900- 3 700]"," 1 700 [ 1 500- 2 000]"," 1 400 [ 1 300- 2 000]"," 1 500 [ 1 100- 1 900]"
"Viet Nam"," 8 900 [ 7 400-11 000]"," 7 700 [ 6 400- 9 000]"," 4 800 [ 7 600-12 000]"," 2 300 [ 1 500- 3 200]"
"Yemen","<500 [<200-<1000]","<500 [<200-<500]","<200 [<200-<500]","<200 [<100-<500]"
"Zambia","20 000 [16 000-24 000]","29 000 [24 000-34 000]","69 000 [55 000-70 000]","65 000 [57 000-73 000]"
"Zimbabwe","29 000 [25 000-34 000]","52 000 [46 000-56 000]","120 000 [100 000-120 000]","120 000 [100 000-130 000]"
